Posisi,Klub,Main,Menang,Seri,Kalah,GF,GA,GD,Poin,Kartu Kuning,Kartu Merah
1,INDONESIA MUDA,19,17,2,0,82,11,71,53,15,4
2,BINTANG TIMUR,19,14,1,4,46,15,31,43,21,12
3,PELINDO,19,13,2,4,47,18,29,41,18,11
4,EL FAZA,19,12,5,2,47,19,28,41,27,19
5,PUTRA MARS,19,13,2,4,46,19,27,41,21,16
6,PS. ANGKATAN LAUT,19,11,1,7,48,22,26,34,18,14
7,PUTRA SURABAYA,19,9,6,4,53,25,28,33,24,19
8,H.B.S,19,8,5,6,28,30,-2,29,22,8
9,AL RAYYAN,19,9,1,9,26,24,2,28,20,24
10,MAESA,19,7,6,6,30,26,4,27,23,13
11,T.E.O,19,7,6,6,33,35,-2,27,22,17
12,PS. BINTANG ANGKASA,19,6,7,6,24,26,-2,25,16,11
13,SEMUT HITAM,19,4,5,10,33,48,-15,17,16,9
14,UNTAG ROSITA,19,3,7,9,25,36,-11,16,25,17
15,POLDA JATIM,19,4,4,11,28,50,-22,16,16,12
16,ANAK BANGSA,19,4,2,13,20,58,-38,14,20,12
17,FATAHILLAH 354,19,3,4,12,18,58,-40,13,28,6
18,SASANA BHAKTI,19,4,1,14,17,65,-48,13,19,6
19,HAGGANA,19,3,3,13,16,40,-24,12,27,11
20,FARFAZA FC,19,3,2,14,22,64,-42,11,20,19
