Posisi,Klub,Main,Menang,Seri,Kalah,GF,GA,GD,Poin,Kartu Kuning,Kartu Merah
1,FATAHILLAH 354,19,17,2,0,55,8,47,53,12,6
2,UNTAG ROSITA,19,14,2,3,53,13,40,44,12,13
3,PS. ANGKATAN LAUT,19,13,2,4,41,14,27,41,11,8
4,HAGGANA,19,11,3,5,30,14,16,36,8,2
5,INDONESIA MUDA,19,11,2,6,27,10,17,35,14,7
6,ANAK BANGSA,19,10,4,5,33,14,19,34,8,2
7,PELINDO,19,10,3,6,31,17,14,33,9,8
8,MAESA,19,9,5,5,37,19,18,32,8,3
9,BINTANG TIMUR,19,8,7,4,25,12,13,31,10,3
10,EL FAZA,19,7,9,3,19,10,9,30,11,7
11,H.B.S,19,7,7,5,22,19,3,28,11,4
12,PUTRA MARS,19,8,4,7,28,34,-6,28,16,7
13,SASANA BHAKTI,19,6,2,11,31,40,-9,20,9,5
14,PUTRA SURABAYA,19,5,3,11,21,44,-23,18,10,4
15,PS. BINTANG ANGKASA,19,3,6,10,11,19,-8,15,13,4
16,AL RAYYAN,19,3,4,12,14,34,-20,13,13,6
17,T.E.O,19,3,4,12,12,42,-30,13,11,4
18,FARFAZA FC,19,2,5,12,24,46,-22,11,8,7
19,SEMUT HITAM,19,3,0,16,14,59,-45,9,7,2
20,POLDA JATIM,19,2,2,15,6,66,-60,8,13,6
