Musim,Pekan,Tanggal,Tim 1,Tim 2,Skor Tim 1,Skor Tim 2
2022,1,12-03-2022,INDONESIA MUDA,PS. ANGKATAN LAUT,5,1
2022,1,14-03-2022,UNTAG ROSITA,BINTANG TIMUR,0,3
2022,1,15-03-2022,PUTRA SURABAYA,ANAK BANGSA,2,1
2022,1,16-03-2022,AL RAYYAN,PELINDO,0,1
2022,1,17-03-2022,H.B.S,HAGGANA,2,1
2022,1,21-03-2022,EL FAZA,PUTRA MARS,2,1
2022,1,22-03-2022,FATAHILLAH 354,SEMUT HITAM,0,0
2022,1,23-03-2022,T.E.O,PS. BINTANG ANGKASA,3,3
2022,1,24-03-2022,POLDA JATIM,MAESA,1,1
2022,1,28-03-2022,FARFAZA FC,SASANA BHAKTI,0,2
2022,2,16-05-2022,PS. ANGKATAN LAUT,ANAK BANGSA,4,0
2022,2,17-05-2022,UNTAG ROSITA,INDONESIA MUDA,0,5
2022,2,18-05-2022,H.B.S,BINTANG TIMUR,1,0
2022,2,19-05-2022,PUTRA SURABAYA,AL RAYYAN,1,0
2022,2,23-05-2022,HAGGANA,PELINDO,1,1
2022,2,24-05-2022,MAESA,T.E.O,3,3
2022,2,25-05-2022,PUTRA MARS,PS. BINTANG ANGKASA,2,0
2022,2,30-05-2022,FARFAZA FC,SEMUT HITAM,3,2
2022,2,31-05-2022,SASANA BHAKTI,POLDA JATIM,4,2
2022,2,01-06-2022,FATAHILLAH 354,EL FAZA,2,2
2022,3,02-06-2022,INDONESIA MUDA,BINTANG TIMUR,2,0
2022,3,02-06-2022,PS. ANGKATAN LAUT,PUTRA SURABAYA,0,1
2022,3,06-06-2022,AL RAYYAN,HAGGANA,0,1
2022,3,07-06-2022,PUTRA MARS,T.E.O,3,1
2022,3,08-06-2022,UNTAG ROSITA,H.B.S,0,1
2022,3,08-06-2022,EL FAZA,SEMUT HITAM,1,1
2022,3,09-06-2022,MAESA,SASANA BHAKTI,0,0
2022,3,09-06-2022,FATAHILLAH 354,FARFAZA FC,1,1
2022,3,13-06-2022,AL RAYYAN,PS. ANGKATAN LAUT,0,3
2022,3,14-06-2022,HAGGANA,UNTAG ROSITA,2,2
2022,4,14-06-2022,H.B.S,PUTRA SURABAYA,2,1
2022,4,15-06-2022,MAESA,PUTRA MARS,0,1
2022,4,15-06-2022,PELINDO,BINTANG TIMUR,0,1
2022,4,16-06-2022,PS. BINTANG ANGKASA,EL FAZA,0,2
2022,4,16-06-2022,SEMUT HITAM,POLDA JATIM,9,0
2022,4,20-06-2022,SASANA BHAKTI,FATAHILLAH 354,4,3
2022,4,20-06-2022,FARFAZA FC,T.E.O,0,1
2022,4,21-06-2022,PS. ANGKATAN LAUT,PELINDO,0,1
2022,4,21-06-2022,BINTANG TIMUR,HAGGANA,3,0
2022,4,22-06-2022,ANAK BANGSA,H.B.S,0,3
2022,5,22-06-2022,UNTAG ROSITA,AL RAYYAN,0,1
2022,5,23-06-2022,INDONESIA MUDA,PUTRA SURABAYA,2,2
2022,5,23-06-2022,POLDA JATIM,PUTRA MARS,1,5
2022,5,27-06-2022,EL FAZA,T.E.O,0,0
2022,5,27-06-2022,PS. BINTANG ANGKASA,FARFAZA FC,2,2
2022,5,28-06-2022,FATAHILLAH 354,MAESA,0,1
2022,5,28-06-2022,SEMUT HITAM,SASANA BHAKTI,0,4
2022,5,29-06-2022,BINTANG TIMUR,ANAK BANGSA,1,0
2022,5,29-06-2022,H.B.S,PS. ANGKATAN LAUT,2,3
2022,5,30-06-2022,HAGGANA,PUTRA SURABAYA,0,0
2022,6,30-06-2022,AL RAYYAN,INDONESIA MUDA,0,2
2022,6,04-07-2022,MAESA,EL FAZA,0,4
2022,6,05-07-2022,FARFAZA FC,PUTRA MARS,0,2
2022,6,05-07-2022,SASANA BHAKTI,T.E.O,0,4
2022,6,06-07-2022,POLDA JATIM,FATAHILLAH 354,0,2
2022,6,06-07-2022,PS. BINTANG ANGKASA,SEMUT HITAM,1,0
2022,6,07-07-2022,PS. ANGKATAN LAUT,BINTANG TIMUR,1,3
2022,6,11-07-2022,PELINDO,H.B.S,2,1
2022,6,12-07-2022,UNTAG ROSITA,PUTRA SURABAYA,1,1
2022,6,13-07-2022,T.E.O,FATAHILLAH 354,2,0
2022,7,18-07-2022,BINTANG TIMUR,PS. BINTANG ANGKASA,1,0
2022,7,18-07-2022,H.B.S,SASANA BHAKTI,2,0
2022,7,19-07-2022,PS. ANGKATAN LAUT,FATAHILLAH 354,1,2
2022,7,19-07-2022,UNTAG ROSITA,SEMUT HITAM,2,2
2022,7,20-07-2022,INDONESIA MUDA,PUTRA MARS,6,0
2022,7,20-07-2022,ANAK BANGSA,T.E.O,0,2
2022,7,21-07-2022,PELINDO,FARFAZA FC,3,0
2022,7,21-07-2022,PUTRA SURABAYA,MAESA,2,2
2022,7,25-07-2022,HAGGANA,EL FAZA,1,3
2022,7,25-07-2022,POLDA JATIM,AL RAYYAN,1,2
2022,8,26-07-2022,SEMUT HITAM,T.E.O,0,3
2022,8,26-07-2022,BINTANG TIMUR,PUTRA SURABAYA,1,3
2022,8,27-07-2022,FATAHILLAH 354,PS. BINTANG ANGKASA,0,0
2022,8,27-07-2022,PUTRA MARS,SASANA BHAKTI,0,3
2022,8,28-07-2022,INDONESIA MUDA,PELINDO,3,0
2022,8,28-07-2022,UNTAG ROSITA,ANAK BANGSA,0,0
2022,8,03-08-2022,ANAK BANGSA,INDONESIA MUDA,0,13
2022,8,04-08-2022,SEMUT HITAM,BINTANG TIMUR,0,2
2022,8,04-08-2022,T.E.O,PUTRA SURABAYA,1,2
2022,8,08-08-2022,PS. BINTANG ANGKASA,ANAK BANGSA,2,0
2022,9,08-08-2022,FATAHILLAH 354,UNTAG ROSITA,2,1
2022,9,09-08-2022,PUTRA MARS,PS. ANGKATAN LAUT,1,0
2022,9,09-08-2022,SASANA BHAKTI,HAGGANA,0,2
2022,9,10-08-2022,H.B.S,FARFAZA FC,4,2
2022,9,10-08-2022,POLDA JATIM,PELINDO,1,3
2022,9,11-08-2022,EL FAZA,INDONESIA MUDA,1,2
2022,9,11-08-2022,AL RAYYAN,MAESA,1,0
2022,9,15-08-2022,BINTANG TIMUR,T.E.O,0,4
2022,9,15-08-2022,PS. BINTANG ANGKASA,UNTAG ROSITA,3,1
2022,9,16-08-2022,SEMUT HITAM,PS. ANGKATAN LAUT,1,4
2022,10,16-08-2022,EL FAZA,H.B.S,3,3
2022,10,18-08-2022,PELINDO,ANAK BANGSA,6,1
2022,10,18-08-2022,INDONESIA MUDA,HAGGANA,3,1
2022,10,22-08-2022,PUTRA MARS,HAGGANA,3,1
2022,10,22-08-2022,ANAK BANGSA,MAESA,0,3
2022,10,24-08-2022,SASANA BHAKTI,PELINDO,0,3
2022,10,25-08-2022,T.E.O,UNTAG ROSITA,1,1
2022,10,25-08-2022,PS. ANGKATAN LAUT,PS. BINTANG ANGKASA,2,0
2022,10,29-08-2022,BINTANG TIMUR,MAESA,1,1
2022,10,29-08-2022,H.B.S,PUTRA MARS,1,3
2022,11,30-08-2022,AL RAYYAN,SASANA BHAKTI,4,0
2022,11,30-08-2022,PELINDO,EL FAZA,1,2
2022,11,31-08-2022,FATAHILLAH 354,INDONESIA MUDA,1,5
2022,11,01-09-2022,PUTRA SURABAYA,FARFAZA FC,11,2
2022,11,01-09-2022,ANAK BANGSA,POLDA JATIM,0,5
