Musim,Pekan,Tanggal,Tim 1,Tim 2,Skor Tim 1,Skor Tim 2
2022,11,05-09-2022,HAGGANA,FATAHILLAH 354,3,0
2022,11,05-09-2022,INDONESIA MUDA,SEMUT HITAM,1,1
2022,11,06-09-2022,PUTRA SURABAYA,POLDA JATIM,5,1
2022,11,06-09-2022,AL RAYYAN,FARFAZA FC,1,3
2022,11,07-09-2022,MAESA,UNTAG ROSITA,0,1
2022,12,08-09-2022,T.E.O,PS. ANGKATAN LAUT,1,1
2022,12,08-09-2022,PUTRA MARS,PELINDO,1,1
2022,12,12-09-2022,FATAHILLAH 354,H.B.S,1,2
2022,12,12-09-2022,EL FAZA,AL RAYYAN,2,1
2022,12,13-09-2022,SASANA BHAKTI,PUTRA SURABAYA,1,7
2022,12,13-09-2022,PELINDO,UNTAG ROSITA,5,1
2022,12,15-09-2022,FARFAZA FC,ANAK BANGSA,1,3
2022,12,15-09-2022,POLDA JATIM,BINTANG TIMUR,0,1
2022,12,19-09-2022,PS. BINTANG ANGKASA,INDONESIA MUDA,0,4
2022,12,19-09-2022,SEMUT HITAM,HAGGANA,2,1
2022,13,20-09-2022,PUTRA MARS,AL RAYYAN,0,1
2022,13,20-09-2022,EL FAZA,SASANA BHAKTI,7,0
2022,13,21-09-2022,PS. ANGKATAN LAUT,MAESA,1,0
2022,13,22-09-2022,UNTAG ROSITA,POLDA JATIM,3,3
2022,13,22-09-2022,BINTANG TIMUR,FARFAZA FC,9,0
2022,13,26-09-2022,PUTRA SURABAYA,EL FAZA,0,2
2022,13,26-09-2022,ANAK BANGSA,SASANA BHAKTI,5,0
2022,13,27-09-2022,INDONESIA MUDA,T.E.O,7,0
2022,13,27-09-2022,PELINDO,FATAHILLAH 354,4,1
2022,13,28-09-2022,HAGGANA,PS. BINTANG ANGKASA,0,3
2022,14,29-09-2022,H.B.S,SEMUT HITAM,0,2
2022,14,29-09-2022,POLDA JATIM,PS. ANGKATAN LAUT,0,5
2022,14,03-10-2022,ANAK BANGSA,EL FAZA,0,6
2022,14,04-10-2022,PUTRA SURABAYA,PUTRA MARS,1,2
2022,14,04-10-2022,MAESA,INDONESIA MUDA,0,6
2022,14,05-10-2022,FARFAZA FC,UNTAG ROSITA,1,2
2022,14,06-10-2022,PS. BINTANG ANGKASA,H.B.S,3,3
2022,14,06-10-2022,T.E.O,HAGGANA,1,0
2022,14,10-10-2022,SEMUT HITAM,PELINDO,1,6
2022,14,10-10-2022,FATAHILLAH 354,AL RAYYAN,1,7
2022,15,11-10-2022,PS. BINTANG ANGKASA,MAESA,1,1
2022,15,11-10-2022,FARFAZA FC,PS. ANGKATAN LAUT,1,4
2022,15,12-10-2022,INDONESIA MUDA,POLDA JATIM,2,1
2022,15,13-10-2022,BINTANG TIMUR,EL FAZA,3,1
2022,15,13-10-2022,ANAK BANGSA,PUTRA MARS,0,4
2022,15,17-10-2022,PUTRA SURABAYA,FATAHILLAH 354,8,0
2022,15,17-10-2022,POLDA JATIM,FARFAZA FC,2,1
2022,15,18-10-2022,H.B.S,T.E.O,0,0
2022,15,18-10-2022,UNTAG ROSITA,SASANA BHAKTI,6,0
2022,15,19-10-2022,HAGGANA,MAESA,0,2
2022,16,20-10-2022,AL RAYYAN,SEMUT HITAM,2,1
2022,16,20-10-2022,PELINDO,PS. BINTANG ANGKASA,1,0
2022,16,24-10-2022,FARFAZA FC,EL FAZA,0,3
2022,16,25-10-2022,T.E.O,POLDA JATIM,4,5
2022,16,25-10-2022,PUTRA MARS,SEMUT HITAM,7,0
2022,16,27-10-2022,AL RAYYAN,BINTANG TIMUR,1,5
2022,16,31-10-2022,MAESA,SEMUT HITAM,5,1
2022,16,31-10-2022,H.B.S,INDONESIA MUDA,1,6
2022,16,01-11-2022,SASANA BHAKTI,PS. BINTANG ANGKASA,1,2
2022,16,01-11-2022,FATAHILLAH 354,PUTRA MARS,0,6
2022,17,02-11-2022,HAGGANA,POLDA JATIM,0,3
2022,17,03-11-2022,MAESA,H.B.S,2,1
2022,17,03-11-2022,FARFAZA FC,INDONESIA MUDA,2,5
2022,17,05-11-2022,PS. BINTANG ANGKASA,POLDA JATIM,2,1
2022,17,05-11-2022,BINTANG TIMUR,SASANA BHAKTI,4,0
2022,17,07-11-2022,SEMUT HITAM,PUTRA SURABAYA,4,4
2022,17,07-11-2022,T.E.O,PELINDO,1,7
2022,17,08-11-2022,SASANA BHAKTI,PS. ANGKATAN LAUT,0,8
2022,17,08-11-2022,EL FAZA,UNTAG ROSITA,2,1
2022,17,09-11-2022,PUTRA MARS,BINTANG TIMUR,0,1
2022,18,10-11-2022,ANAK BANGSA,FATAHILLAH 354,4,1
2022,18,10-11-2022,PS. BINTANG ANGKASA,AL RAYYAN,0,0
2022,18,12-11-2022,MAESA,FARFAZA FC,6,1
2022,18,12-11-2022,PS. ANGKATAN LAUT,HAGGANA,6,0
2022,18,14-11-2022,POLDA JATIM,H.B.S,0,0
2022,18,14-11-2022,ANAK BANGSA,AL RAYYAN,0,1
2022,18,15-11-2022,PUTRA SURABAYA,PS. BINTANG ANGKASA,2,2
2022,18,15-11-2022,MAESA,PELINDO,3,1
2022,18,16-11-2022,EL FAZA,PS. ANGKATAN LAUT,3,2
2022,18,17-11-2022,PUTRA MARS,UNTAG ROSITA,2,2
2022,19,17-11-2022,FARFAZA FC,HAGGANA,2,1
2022,19,19-11-2022,EL FAZA,POLDA JATIM,1,1
2022,19,19-11-2022,AL RAYYAN,H.B.S,1,2
2022,19,21-11-2022,BINTANG TIMUR,FATAHILLAH 354,7,1
2022,19,21-11-2022,SEMUT HITAM,ANAK BANGSA,6,2
2022,19,22-11-2022,SASANA BHAKTI,INDONESIA MUDA,0,3
2022,19,22-11-2022,T.E.O,AL RAYYAN,1,3
2022,19,23-11-2022,PS. ANGKATAN LAUT,UNTAG ROSITA,2,1
2022,19,24-11-2022,PELINDO,PUTRA SURABAYA,1,0
2022,19,24-11-2022,HAGGANA,ANAK BANGSA,3,0
