Musim,Pekan,Tanggal,Tim 1,Tim 2,Skor Tim 1,Skor Tim 2
2022,8,18/06/2022,H.B.S,T.E.O,2,4
2022,8,18/06/2022,SASANA BHAKTI,PELINDO,1,1
2022,8,18/06/2022,EL FAZA,PS. ANGKATAN LAUT,1,0
2022,8,18/06/2022,BINTANG TIMUR,UNTAG ROSITA,2,1
2022,8,18/06/2022,INDONESIA MUDA,ANAK BANGSA,0,1
2022,8,18/06/2022,PS. BINTANG ANGKASA,HAGGANA,0,2
2022,8,18/06/2022,PUTRA SURABAYA,AL RAYYAN,0,2
2022,9,25/06/2022,SASANA BHAKTI,HAGGANA,0,4
2022,9,25/06/2022,PUTRA MARS,H.B.S,2,3
2022,9,25/06/2022,FARFAZA FC,EL FAZA,1,0
2022,9,25/06/2022,AL RAYYAN,UNTAG ROSITA,1,2
2022,9,25/06/2022,PELINDO,PS. BINTANG ANGKASA,2,0
2022,9,25/06/2022,PUTRA SURABAYA,BINTANG TIMUR,0,3
2022,9,25/06/2022,SEMUT HITAM,INDONESIA MUDA,0,0
2022,9,25/06/2022,FATAHILLAH 354,T.E.O,2,0
2022,9,25/06/2022,POLDA JATIM,ANAK BANGSA,0,3
2022,9,25/06/2022,PS. ANGKATAN LAUT,MAESA,0,1
2022,10,02/07/2022,PS. BINTANG ANGKASA,AL RAYYAN,4,0
2022,10,02/07/2022,UNTAG ROSITA,FARFAZA FC,1,1
2022,10,02/07/2022,T.E.O,POLDA JATIM,0,3
2022,10,02/07/2022,BINTANG TIMUR,PELINDO,0,2
2022,10,02/07/2022,HAGGANA,MAESA,3,0
2022,10,02/07/2022,PUTRA MARS,PS. ANGKATAN LAUT,0,1
2022,10,02/07/2022,INDONESIA MUDA,PUTRA SURABAYA,5,0
2022,10,02/07/2022,ANAK BANGSA,SEMUT HITAM,1,1
2022,10,02/07/2022,H.B.S,FATAHILLAH 354,0,1
2022,10,02/07/2022,EL FAZA,SASANA BHAKTI,1,1
2022,11,16/07/2022,PS. BINTANG ANGKASA,POLDA JATIM,2,0
2022,11,16/07/2022,BINTANG TIMUR,FATAHILLAH 354,0,4
2022,11,16/07/2022,UNTAG ROSITA,SEMUT HITAM,2,0
2022,11,16/07/2022,H.B.S,FARFAZA FC,1,2
2022,11,16/07/2022,HAGGANA,PELINDO,2,0
2022,11,16/07/2022,ANAK BANGSA,MAESA,7,0
2022,11,16/07/2022,PS. ANGKATAN LAUT,AL RAYYAN,0,0
2022,11,16/07/2022,INDONESIA MUDA,PUTRA MARS,3,1
2022,11,16/07/2022,EL FAZA,PUTRA SURABAYA,4,0
2022,11,16/07/2022,T.E.O,SASANA BHAKTI,0,1
2022,12,23/07/2022,POLDA JATIM,H.B.S,0,3
2022,12,23/07/2022,PS. ANGKATAN LAUT,FATAHILLAH 354,1,3
2022,12,23/07/2022,PUTRA SURABAYA,ANAK BANGSA,0,3
2022,12,23/07/2022,EL FAZA,MAESA,1,0
2022,12,23/07/2022,SEMUT HITAM,T.E.O,3,1
2022,12,23/07/2022,HAGGANA,PUTRA MARS,2,0
2022,12,23/07/2022,PELINDO,INDONESIA MUDA,0,0
2022,12,23/07/2022,AL RAYYAN,BINTANG TIMUR,0,1
2022,12,23/07/2022,FARFAZA FC,PS. BINTANG ANGKASA,0,1
2022,12,23/07/2022,UNTAG ROSITA,SASANA BHAKTI,1,0
2022,13,30/07/2022,ANAK BANGSA,PELINDO,1,1
2022,13,30/07/2022,EL FAZA,PUTRA MARS,1,0
2022,13,30/07/2022,INDONESIA MUDA,AL RAYYAN,1,0
2022,13,30/07/2022,T.E.O,PUTRA SURABAYA,0,0
2022,13,30/07/2022,UNTAG ROSITA,MAESA,1,0
2022,13,30/07/2022,HAGGANA,FATAHILLAH 354,3,0
2022,13,30/07/2022,PS. ANGKATAN LAUT,POLDA JATIM,0,0
2022,13,30/07/2022,BINTANG TIMUR,FARFAZA FC,1,0
2022,13,30/07/2022,H.B.S,SEMUT HITAM,1,0
2022,13,30/07/2022,SASANA BHAKTI,PS. BINTANG ANGKASA,0,5
2022,14,06/08/2022,PUTRA MARS,UNTAG ROSITA,2,0
2022,14,06/08/2022,PELINDO,T.E.O,2,0
2022,14,06/08/2022,POLDA JATIM,HAGGANA,0,2
2022,14,06/08/2022,FARFAZA FC,INDONESIA MUDA,0,1
2022,14,06/08/2022,PUTRA SURABAYA,H.B.S,0,3
2022,14,06/08/2022,MAESA,PS. BINTANG ANGKASA,0,8
2022,14,06/08/2022,FATAHILLAH 354,EL FAZA,1,0
2022,14,06/08/2022,SASANA BHAKTI,BINTANG TIMUR,0,2
2022,14,06/08/2022,AL RAYYAN,ANAK BANGSA,0,2
2022,14,06/08/2022,SEMUT HITAM,PS. ANGKATAN LAUT,1,1
2022,15,01/10/2022,INDONESIA MUDA,SASANA BHAKTI,1,1
2022,15,01/10/2022,PS. BINTANG ANGKASA,PUTRA MARS,2,0
2022,15,01/10/2022,EL FAZA,POLDA JATIM,3,0
2022,15,01/10/2022,UNTAG ROSITA,FATAHILLAH 354,1,2
2022,15,01/10/2022,PUTRA SURABAYA,PS. ANGKATAN LAUT,0,8
2022,15,01/10/2022,HAGGANA,SEMUT HITAM,2,0
2022,15,01/10/2022,T.E.O,AL RAYYAN,1,1
2022,15,01/10/2022,BINTANG TIMUR,MAESA,3,0
2022,15,01/10/2022,H.B.S,PELINDO,2,0
2022,15,01/10/2022,ANAK BANGSA,FARFAZA FC,3,0
2022,16,08/10/2022,PUTRA MARS,BINTANG TIMUR,0,2
2022,16,08/10/2022,SASANA BHAKTI,ANAK BANGSA,0,3
2022,16,08/10/2022,PELINDO,PS. ANGKATAN LAUT,4,0
2022,16,08/10/2022,FATAHILLAH 354,PS. BINTANG ANGKASA,0,2
2022,16,08/10/2022,AL RAYYAN,H.B.S,0,0
2022,16,08/10/2022,FARFAZA FC,T.E.O,3,0
2022,16,08/10/2022,SEMUT HITAM,EL FAZA,0,2
2022,16,08/10/2022,UNTAG ROSITA,POLDA JATIM,3,0
2022,16,08/10/2022,MAESA,INDONESIA MUDA,0,4
2022,16,08/10/2022,HAGGANA,PUTRA SURABAYA,4,0
2022,17,15/10/2022,AL RAYYAN,POLDA JATIM,3,0
2022,17,15/10/2022,UNTAG ROSITA,ANAK BANGSA,0,0
2022,17,15/10/2022,EL FAZA,T.E.O,3,0
2022,17,15/10/2022,BINTANG TIMUR,H.B.S,2,3
2022,17,15/10/2022,INDONESIA MUDA,HAGGANA,0,3
2022,17,15/10/2022,PS. BINTANG ANGKASA,PS. ANGKATAN LAUT,7,0
2022,17,15/10/2022,PELINDO,MAESA,5,0
2022,17,15/10/2022,PUTRA MARS,PUTRA SURABAYA,5,1
2022,17,15/10/2022,FARFAZA FC,FATAHILLAH 354,0,4
2022,17,15/10/2022,SEMUT HITAM,SASANA BHAKTI,0,2
2022,18,22/10/2022,PELINDO,EL FAZA,1,0
2022,18,22/10/2022,SEMUT HITAM,PS. BINTANG ANGKASA,0,8
2022,18,22/10/2022,FATAHILLAH 354,INDONESIA MUDA,0,0
2022,18,22/10/2022,POLDA JATIM,BINTANG TIMUR,0,3
2022,18,22/10/2022,MAESA,T.E.O,0,4
2022,18,22/10/2022,ANAK BANGSA,PUTRA MARS,5,1
2022,18,22/10/2022,FARFAZA FC,PS. ANGKATAN LAUT,3,1
2022,18,22/10/2022,AL RAYYAN,HAGGANA,1,1
2022,18,22/10/2022,PUTRA SURABAYA,UNTAG ROSITA,0,3
2022,18,22/10/2022,SASANA BHAKTI,H.B.S,1,1
2022,19,29/10/2022,UNTAG ROSITA,PELINDO,0,5
2022,19,29/10/2022,MAESA,H.B.S,0,4
2022,19,29/10/2022,FATAHILLAH 354,ANAK BANGSA,2,1
2022,19,29/10/2022,POLDA JATIM,INDONESIA MUDA,0,3
2022,19,29/10/2022,SASANA BHAKTI,PS. ANGKATAN LAUT,3,0
2022,19,29/10/2022,BINTANG TIMUR,SEMUT HITAM,1,0
2022,19,29/10/2022,PUTRA SURABAYA,PS. BINTANG ANGKASA,0,5
2022,19,29/10/2022,HAGGANA,FARFAZA FC,2,0
2022,19,29/10/2022,AL RAYYAN,EL FAZA,0,2
2022,19,29/10/2022,PUTRA MARS,T.E.O,1,1
