Musim,Pekan,Tanggal,Tim 1,Tim 2,Skor Tim 1,Skor Tim 2
2022,1,19/02/2022,INDONESIA MUDA,BINTANG TIMUR,1,0
2022,1,19/02/2022,PS. BINTANG ANGKASA,UNTAG ROSITA,5,0
2022,1,19/02/2022,HAGGANA,EL FAZA,1,0
2022,1,19/02/2022,PS. ANGKATAN LAUT,H.B.S,0,2
2022,1,19/02/2022,T.E.O,ANAK BANGSA,0,1
2022,1,26/02/2022,SEMUT HITAM,PUTRA SURABAYA,1,1
2022,1,26/02/2022,PELINDO,AL RAYYAN,4,1
2022,1,26/02/2022,SASANA BHAKTI,FARFAZA FC,1,2
2022,1,26/02/2022,PUTRA MARS,MAESA,0,1
2022,1,26/02/2022,FATAHILLAH 354,POLDA JATIM,0,0
2022,2,05/03/2022,ANAK BANGSA,H.B.S,2,0
2022,2,05/03/2022,MAESA,SASANA BHAKTI,0,2
2022,2,05/03/2022,PUTRA SURABAYA,FARFAZA FC,0,6
2022,2,05/03/2022,PELINDO,SEMUT HITAM,3,2
2022,2,05/03/2022,FATAHILLAH 354,AL RAYYAN,3,1
2022,2,05/03/2022,POLDA JATIM,PUTRA MARS,0,0
2022,2,05/03/2022,HAGGANA,PS. ANGKATAN LAUT,5,0
2022,2,05/03/2022,PS. BINTANG ANGKASA,INDONESIA MUDA,4,0
2022,2,05/03/2022,EL FAZA,BINTANG TIMUR,0,3
2022,2,05/03/2022,T.E.O,UNTAG ROSITA,2,1
2022,3,19/03/2022,H.B.S,EL FAZA,1,2
2022,3,19/03/2022,PS. ANGKATAN LAUT,ANAK BANGSA,1,1
2022,3,19/03/2022,FARFAZA FC,PUTRA MARS,2,1
2022,3,19/03/2022,INDONESIA MUDA,UNTAG ROSITA,6,0
2022,3,19/03/2022,PS. BINTANG ANGKASA,T.E.O,1,0
2022,3,19/03/2022,MAESA,POLDA JATIM,0,3
2022,3,19/03/2022,PELINDO,FATAHILLAH 354,1,3
2022,3,19/03/2022,BINTANG TIMUR,HAGGANA,0,6
2022,3,19/03/2022,SEMUT HITAM,AL RAYYAN,1,0
2022,3,19/03/2022,PUTRA SURABAYA,SASANA BHAKTI,0,1
2022,4,26/03/2022,PS. ANGKATAN LAUT,BINTANG TIMUR,2,0
2022,4,26/03/2022,FATAHILLAH 354,SASANA BHAKTI,0,0
2022,4,26/03/2022,AL RAYYAN,PUTRA MARS,1,0
2022,4,26/03/2022,POLDA JATIM,PELINDO,0,1
2022,4,26/03/2022,FARFAZA FC,SEMUT HITAM,2,1
2022,4,26/03/2022,MAESA,PUTRA SURABAYA,0,1
2022,4,26/03/2022,ANAK BANGSA,PS. BINTANG ANGKASA,1,0
2022,4,26/03/2022,T.E.O,HAGGANA,0,1
2022,4,26/03/2022,H.B.S,UNTAG ROSITA,1,1
2022,4,26/03/2022,EL FAZA,INDONESIA MUDA,1,1
2022,5,28/03/2022,POLDA JATIM,SASANA BHAKTI,0,0
2022,5,28/03/2022,ANAK BANGSA,HAGGANA,1,3
2022,5,28/03/2022,T.E.O,BINTANG TIMUR,1,2
2022,5,28/03/2022,FARFAZA FC,AL RAYYAN,1,0
2022,5,28/03/2022,PUTRA MARS,PELINDO,1,2
2022,5,28/03/2022,PS. ANGKATAN LAUT,INDONESIA MUDA,1,2
2022,5,28/03/2022,FATAHILLAH 354,PUTRA SURABAYA,5,0
2022,5,28/03/2022,MAESA,SEMUT HITAM,3,0
2022,5,28/03/2022,UNTAG ROSITA,EL FAZA,1,0
2022,5,28/03/2022,H.B.S,PS. BINTANG ANGKASA,2,0
2022,6,04/06/2022,MAESA,FATAHILLAH 354,2,2
2022,6,04/06/2022,PS. BINTANG ANGKASA,EL FAZA,3,0
2022,6,04/06/2022,UNTAG ROSITA,HAGGANA,0,2
2022,6,04/06/2022,PELINDO,FARFAZA FC,1,1
2022,6,04/06/2022,SEMUT HITAM,PUTRA MARS,0,0
2022,6,04/06/2022,PS. ANGKATAN LAUT,T.E.O,0,4
2022,6,04/06/2022,PUTRA SURABAYA,POLDA JATIM,0,4
2022,6,04/06/2022,BINTANG TIMUR,ANAK BANGSA,0,1
2022,6,04/06/2022,INDONESIA MUDA,H.B.S,0,0
2022,6,04/06/2022,AL RAYYAN,SASANA BHAKTI,0,0
2022,7,11/06/2022,FATAHILLAH 354,SEMUT HITAM,2,0
2022,7,11/06/2022,MAESA,AL RAYYAN,0,1
2022,7,11/06/2022,SASANA BHAKTI,PUTRA MARS,0,1
2022,7,11/06/2022,ANAK BANGSA,EL FAZA,0,1
2022,7,11/06/2022,H.B.S,HAGGANA,1,1
2022,7,11/06/2022,PS. ANGKATAN LAUT,UNTAG ROSITA,0,0
2022,7,11/06/2022,PS. BINTANG ANGKASA,BINTANG TIMUR,3,0
2022,7,11/06/2022,T.E.O,INDONESIA MUDA,3,0
2022,7,11/06/2022,POLDA JATIM,FARFAZA FC,1,3
2022,7,11/06/2022,PELINDO,PUTRA SURABAYA,7,0
2022,8,18/06/2022,PUTRA MARS,FATAHILLAH 354,0,1
2022,8,18/06/2022,SEMUT HITAM,POLDA JATIM,1,1
2022,8,18/06/2022,FARFAZA FC,MAESA,3,0
